sr#,FYP Title,Description,Link to the FYP Report,@,"Tools,Languages/ Technologies"
19,PilotBuddy: A Real-time Anomaly Detection and Fault-Diagnosis Framework for Unmanned Aerial Vehicles,"Military UAV missions are often of quite sensitive nature. Precision,accuracy,and low-risk involvement is of high importance in such missions. Fault detection in UAVs,in real-time,can greatly reduce the risk involved in flying and reduce the number of accidents. Pilot Buddy is a team effort to bring down the failure rate in UAV flights through early and timely fault diagnosis. Pilot Buddy is trained on flight datasets containing parameter changes from before and after fault injection in a UAV,enabling it to register UAV behavior changes during a flight and hence,and  allowing the program to alarm the user immediately,upon fault detection.",https://drive.google.com/file/d/1Mo12m7SHduJmoPKugE4BkgUmAjFtMfbs/view?usp=sharing,@,"Python,Google Colab,Flask Framework,FlightGear 2020.1.3,Telnet Socket Programming"
20,Image Inpainting Using Deep Learning Models,"Image inpainting can be described as a process to restore damaged or deteriorated image,or to enhance an image. The purpose of our project is to explore and use deep learning models on image inpainting in order to get the desired results. The user will be able to Inpaint the images using web app or android app.",https://drive.google.com/file/d/196FAHQjO54gTiR3RsOUSExmVtAO0DRAF/view?usp=sharing,@,"Flask,Flutter,Tensorflow,Keras,Python,Github"
21,HemaRays,A non-invasive approach to calculate hemoglobin levels through the smartphone camera. The user places his finger on the front camera and a 1 minute video will be recorded . The video shall be converted to frames to get RGB arrays and thus generate a PPG Signal.The PPG signal shall be used to extract features which will be used in the machine learning model to get accurate estimations of hemoglobin values.,https://drive.google.com/file/d/1OxooRkkeFU0B9HYP2aC21hn57s2SMQuv/view?usp=sharing,@,"React Native,Python,JavaScript,TensorFlow"
22,Identification of Degree of Freshness of Fruits and Vegetables,"An android application that detects the degree of freshness of fruits and vegetables present in an image. A Yolov5m object detection model has been trained on a dataset of around 60k images of fruits and vegetables. After training,the model has been deployed on a server. User captures image from camera or loads image from gallery or url,then image is transferred to the server where the model predicts bounding boxes along with type and degree of freshness of objects present in the image,and finally the resultant image is sent back to the the android application that displays it. Supported fruits and vegetables include apple,banana,brinjal,chili,cucumber,guava,lemon,orange,pepper,potato and tomato.",https://drive.google.com/file/d/1p4z1Da7sbEMgcOKfB6QCenp0POUYeYvx/view?usp=sharing,@,"Java,Python,Android,Pytorch,Yolov5,Google Colab,OpenCV"
23,Activity Recognition in Smart Homes Using Ambient Sensors.,"For the management and monitoring of elderly people in a smart environment,we will be using deep learning models to identify activities performed by individuals and recorded through multiple sensors deployed in a smart home. In our project,a comparison of different models of Deep Learning is done for the Activity Recognition of Humans in sensor deployed smart homes. We will map the existing Deep Learning techniques (DLT) to the problem of activity recognition in smart homes. Our major concern is the imbalance dataset which includes some activities with more instances than the others and same activities performed by multiple residents.",https://drive.google.com/file/d/1uQHMZ0q2tlWpy15098admVREstsRQvQD/view?usp=sharing,@,"Kaggle,Python,Python,Tensor flow,Android Studio,Java"
24,Insider Threat Management System,"InTMS aims to monitor employees' systems for malicious activities. The aim is to identify insider threats posed by trusted employees or those provided with special privileges before it is too late. Our project mainly focuses on the organizations with sensitive data like NESCOM,military,health care,IT and so on. Some of the features include tracking application usage,real time data monitoring,monitoring external devices and to make sure our application is running silently at the backend that no employee knows about. Each entry is captured against the system's name,date and time of the activity. All logs are sent to a remote server where they are securely stored and which only the CEO or a very trusted admin can access. This app allows organizations to keep an eye on their sensitive data and also hold the right person accountable in case of a mishap.",https://drive.google.com/file/d/1UeVlJBmNcPtdgay3k8ZzUxsT8rgtzr-G/view?usp=sharing,@,"C# Entity Framework,Python,Django Framework"
25,TailorMaster,An application that takes 2D camera image of a person and generates its 3D model.,https://drive.google.com/file/d/1r15VwTnM5bfEksoLZ3tJI9nwdMszdiZL/view?usp=sharing,@,Nill
26,Guftagu,"Athena,is an automated graph based Knowledge Extraction System that aims to solve the challenges of linked data by providing users the ability to retrieve and extract meaningful information without the need of having expert domain knowledge. Our system has successfully achieved the conversion of raw text from various genres to a well structured Graph format. This has enabled our users to structure,store,retrieve and analyze data quickly,in runtime.",https://drive.google.com/file/d/1wgyxpK9c6coXhzE1EHGwQfC9b0hjatNT/view?usp=sharing,@,"Neo4j,Python 3.8,Flask,Jupyter Notebook,Google Colab,PyCharm,HTML,CSS,JavaScript"
27,Generating Precise Notes from Video Samples,"In GoNotes,we extract the audio from video samples,and then transcribe the text from the given audio samples. The text is refined and the lecture will be highlighted to depict the important points and the key terms. The problem that was discovered was that video lectures tend to be quite lengthy and it becomes nearly impossible to revise them without proper lecture notes. So,we used both audio features and textual features to locate emphasized parts of the lectures. This way,by generating precise lecture notes,students will have access to well prepared lecture notes without putting too much effort and saving a lot of time.",https://drive.google.com/file/d/1w24BBANvNXq-6c6v1Lzbq9sKC2Cy1Le_/view?usp=sharing,@,"Python,Google Colab,Flask,HTML,CSS,Wav2Vec2,Gensim,Punctuator,Pydub,Crepe,Librosa,NLTK,Ngrok"
28,Uvea - Image to Speech for the blind and visually impaired,"Uvea is aimed to be a mobile application for the blind and visually impaired that provides assistance and accessibility to them. The application would be doing so using object detection,classification and collision prevention through deep learning techniques.",https://drive.google.com/file/d/1BbMDUZln1oexXqbvab5VZcJyEkrq64WJ/view?usp=sharing,@,"Dart,Flutter,Python,Tflite,opencv,scikit,numpy,pillow,git"
29,Fashion Hunt- Image recognition and visually similar Clothing detection and retrieval,Fashion Hunt a.k.a BrandsWar is a web based application that is designed for searching similar clothing online. It uses deep learning techniques to get similar clothing items from various different brands.,https://drive.google.com/file/d/1wfgyDvOKIqUQeWQdysl_JrJOR-LjD-iD/view?usp=sharing,@,"Py Torch,Flask,Selenium,Angular, MongoDB,Express,Node Js"
30,Threatify,"Mobile/web application that takes the camera feed and inform the user about anmolous activities like fire,fighting etc.",https://drive.google.com/file/d/1KUiPNtv-ktLeoWpEyHjge93ANI9gKSWp/view?usp=sharing,@,Nill
31,MedsParency,"MedsParency is a medicine tracking system which ensures transparency of supply chain by keeping a track of the medicines delivered. By storing the tracks of a medicine throughblockchain,one can know whether it comes from a valid source or not. So,buyers can ensure that the medicine they are buying is not fake or a knock-off while being able to purchase it from a local retailer or a popular pharmacy. Moreover,manufacturing and quality standards of both the product and raw materials used can be maintained according to local drug regulatory authorities or WHO standards to lower health risks and side effects. It also ensures price and hoarding control so customers will not be overcharged for short,expensive and sensitive lifesaving drugs and lessens the hassle of a manual documentation of supply chain,which is insecure,by storing it on an immutable and transparent digital ledger that can be accessed by anyone from anywhere.",https://drive.google.com/file/d/1YCoxypK_HgiMHMmOTDo5BtoBNg3jaeZa/view?usp=sharing,@,"Hyperledger Fabric 2.2,Golang,JavaScript,Node,React"
32,ShiftDrive,"A user-friendly mobile application that recognizes the car by providing it’s image/video,detects the damage parts of the car,detects severity of the damage parts and provides a platform for workshop procurement for the customer.",https://drive.google.com/file/d/1PNDhRst25u5idQqXRjy-GNCvQ1xRIEcN/view?usp=sharing,@,"Python,Java,Makesense.ai,Android Studio,Google Colab,Google Maps - API,Ms Azure,GCP,Rest API's"
33,CloudXplor,A system monitoring dashboard for on premise non manageable environments.,https://drive.google.com/file/d/1jzwsqu0mzcmW4S4OoPg7z3bHXWMYIxLM/view?usp=sharing,@,"Java springboot,reactJs,linux kernel sysstat,sql sys_schema,sklearn,python"
34,Virtual Classroom,VClass is an android application that will provide the features of a classroom from the comfort of people's home. It combines all the essential classroom features into one application. VClass also uses virtual reality technology for a more immersive and interactive experience.,https://drive.google.com/file/d/1pnPyWtRdCGVq9aD2CZjroq5VtDrD0Mvk/view?usp=sharing,@,"Android Studio,Unity,Firebase,Blender,Photoshop,Photon Unity"
35,E-Utility Services App,"E-utility services app is an android application in which we aim to provide fast and responsive solutions for customers where they can search for a number of services; Electrician,Plumber,AC Repair,Mechanics,Carpenters etc. Location of these service providers will be available through map,customers will be able to search,contact,book and track service provider on map. After completion of work the customer can complete the booking,give rating and pay the bill by using Jazz Cash option or Pay by Cash option. The best service provider recommendation using skyline query and price prediction for specific service provider is also implemented in our app.",https://drive.google.com/file/d/1dDJyTiF29k0i_tdVaraUb_Pq33463qI2/view?usp=sharing,@,"Adobe XD,Android Studio,Firebase,Java,Python,Google Maps API,Directions API,GPS,"
36,ArchiTech,"ArchiTech is an Android platform that,at its core,allows user to convert their 2D floorplan into navigable 3D models. These models are also viewable in AR. The platform also collects valuable information regarding the floorplan (cost estimates etc) and makes these available to the user. Furthermore,the application provides many platform related interactions for users to explore,share and compare floorplans as well.",https://drive.google.com/file/d/1o0VvYE_Oh5pq_hRHUXN87km52KX5a250/view?usp=sharing ,@,"Native Android,Firebase,Tensorflow,Flask,Unity3D,Vuforia"
37,Remote Assistance Through Augmented Reality,"RATAR is an augmented reality based remote assistance platform. RATAR platform allows customer care agents or technicians to work remotely,executing common technical tasks and maintenance procedures in real-time. The display of real-time 3D annotations on environments and objects help teams solve problems efficiently.",https://drive.google.com/file/d/1PYXgNFTy6opfY8_CuVID7qoCcw2bs3pZ/view?usp=sharing ,@,"Android Studio,Agora.io,AR Core,Firebase,Node.js"
38,OJO - Smart Surveillance System,"OJO which means an ""Eye"" in Spanish is a web based system which provides surveillance and reports violent behavior activities to financial institutions. It uses deep learning model to detect weapons and violence in a live stream cctv camera or recorded video. The system will then generate a red alert and enables the user to take action. He can then inform the LEAs who will receive the alert notification via SMS. User can also monitor the logs of the detected activity.",https://drive.google.com/file/d/1zQ-ygbAOK1o_lEV9hrpAuscVTOT9YLW8/view?usp=sharing,@,"Python,Flask,HTML/CSS Bootstrap,MongoDB,Deep Learning (Yolov3 and 3D CNN),OpenCV,Twilio API"
39,BrandHub,"BrandHub is a web application that acts as your online shopping companion and as a hub for Pakistani clothing brands. The data on our application has been scraped off from the official websites of these brands. Our product allows the users to search for items similar to what they want,make a match with their outfits,save their favourite items and make price and brand comparisons. The main goal is to save the valuable time and effort of our users. ",https://drive.google.com/file/d/1vfmajUqSAUUxQX4jkfWv9uVMbr3DUZrP/view?usp=sharing,@,"Beautiful Soup,Python,React,Machine Learning,MongoDB."
40,RanDecII,A desktop application named Ransomware Detector that detects Ransamware infected files,https://drive.google.com/file/d/1jBeODe1_MnZKAd04Otknb2Lh3xH5qfa7/view?usp=sharing,@,"Python,Colab Notebook,Machine Learning"
41,Charity Go,A social trustworthy collaborative website where Donors and Non Profit Organizations interact to ease the difficulties in Charity Process. Organizations can initialize campaigns and projects and donors can view them and their real time updates.,https://drive.google.com/file/d/103UoEDED74PPntcpV2EPdAuaQl_XQfk2/view?usp=sharing,@,"MEAN Stack,Python,Bootstrap,HTML,CSS,JS,Figma"
42,Virtual Classroom,Interactive web platform for students and institutional mentors to take online education. Students will be able to interact with their mentors with full ease but it’ll mostly be focused on providing the mentors a platform or tool through which they can take an in-depth report about every student’s performance and also go through the student engagement in classroom activities.,https://drive.google.com/file/d/1vfBkpSdAN4XBPhcZtn_jMJ8uDWc_dXyC/view?usp=sharing,@,"Django Python Web Framework,HTML,CSS,Bootstrap,JQuery,MYSQL,OpenCV"
43,SmartSlides,"We developed a system that can capture the teacher's whiteboard notes along with its respective slide. Hence,we designed and developed an Android/iOS and web app where the application will be able to record the lectures,apply our trained model to extract notes from the whiteboard and attach it with its respective slide and view them on SmartSlides which let you manage multiple courses,invite people and add them to the course and carry out threaded discussions.",https://drive.google.com/file/d/1NtS1KwHw1sPKqoUlOZjW12UqTIoJcPUg/view?usp=sharing,@,"Flutter,Android,Firebase,Dart,Python,Kotlin,Microsoft Azure VM,IBM Cloud Storage Buckets,TensorFlow Lite,Adobe XD,Xcode"
44,A machine-learning based load-balancing application scheduler for CPU-GPU system,Troodon is a scheduler that schedules OpenCL programs on the basis of device suitability and load balancing for optimal performance of heterogeneous system's with one CPU and GPU device.,https://drive.google.com/file/d/165MmiP2t1vLar1U7T4AYw1IW-43RJQms/view?usp=sharing,@,"python,llvm,opencl,sklearn,node,ubuntu"
45,SmartGharana,SmartGharana is an automated home system. It features a home assistant and home security in a single application that will help the user save time by simplifying daily tasks. The system uses natural language processing and image processing techniques to automate and assist users.,https://drive.google.com/file/d/1QlFfhm-MMZ57EKK_nRVBfVnlngWQ6aYF/view?usp=sharing,@,"Flutter,Flask,Firebase Cloud Messaging,ESP32,Arduino Relays,Raspberry Pi,Raspberry Pi Camera,IR Sensor OpenCV"
46,Obstructy - Remove to improve,"Obstructy is an Android native video editing application.  Its salient feature is the removal of unwanted obstructions (e.g. fences,grills,reflections,etc.) to provide an ""unobstructed"" image from a video,while also providing video editing features. Uses a recent work from the year 2020 involving deeplearning.",https://drive.google.com/file/d/1CTCIKPEP_E5-mIXWoiVrPepUJc5zfygZ/view?usp=sharing,@,"Android Studio,Java,XML,Python,C/++,Tensorflow,Flask"
47,Artificially Intelligent Psychiatrist Bot for Elderly People,"Artificially intelligent android application which  provides users with a therapist bot on their phone.  It works by providing the users with an interface where they can have conversation with the bot,it will calculate the emotion scores and give relevant responses in return. These responses can also include recommendations generated using the user's messages and interests. Also,users can see their emotional history via a graph,and write daily journals to have a great experience using app.",https://drive.google.com/file/d/1NNwH27cTkhmR-dgFaAy2i2yeEcunHEpS/view?usp=sharing,@,"RASA,Django,Flask,GPT2,Android Studio,BERT,TensorFlow,Colab,SQLite"
48,MeetingScheduler,MeetingScheduler is an AI Based virtual assistant that takes away the hassle of scheduling meetings from its users and manages the schedule on its own. The virtual assistant manages/ updates its users’ calendars and informs users about upcoming meetings. It is a web application that provides an interactive chatbot interface to help its users communicate and query easily with the virtual assistant.,https://drive.google.com/file/d/1uU46d6AABU3ZmRx4k9Ra4m0FE87qKYkC/view?usp=sharing,@,"RASA Framework,TensorFlow,Bootstrap,Google Calendar,Flask"
49,JustC,JustC is a web application based on Python Flask. It takes the user webcam feed as an input and determine where a person is gazing at the screen. The system then uses the data to let the user control social media applications ie YouTube and Twitter.,https://drive.google.com/file/d/1D8lmKzV-43E2oGUheug5u9GfD6KKbi3z/view?usp=sharing,@,"Flask,HTML,CSS,Bootstrap,Keras,Tensorflow"
50,Racism Detection,"ExRaDe is an web application which classifies whether given comment is a racist or not.Our system  focuses on finding racism,enabling the user to detect which tweet or social media post is racist.We have trained our model to detect racism in roman Urdu.Moreover,we have provided the web interface to show results to the users.",https://drive.google.com/file/d/1LwbSYlnYOU8sNxNUDpO8OnWU0IrT3za3/view?usp=sharing,@,"Python,Flask,HTML,CSS,JavaScript"
51,Smart Eye,"SmartEye is a web based application aimed at aiding businesses in their marketing. It will provide them with statistical reports regarding their ad placement with statistics such as number of interested people,their age brackets,gender etc.",https://drive.google.com/file/d/1RmJUo17IAKHnTJcmajCz8OiFF9GZcDJV/view?usp=sharing,@,Nill
52,Scalable aggregation of text using big data tools,"Our fyp revolving around data engineering where we are using big data tools( apache kafka,apache spark ). It ingest two data lakes and stream through kafka and process them in 3 pipelines using apache spark. The generated results from 3 pipelines are directly written into Again kafka brokers. As soon as kakfa receives processed results,a listener write result into firebase. Gui part involves fetching result from firebase and show them in website.",https://drive.google.com/file/d/1EXh28yIwqyszB4u9TnwJrKvYRj7ijMwT/view?usp=sharing,@,"Apache Kafka,Apache Spark,Firebase,Pycharn,Databricks,Google Colab,Anaconda,Angular,Intellij idea"
53,Contract Drafter With ASR in Urdu,Developing an ASR for Urdu and back-end android application for property dealers (short meetings). The calls transcribe into urdu text and in an end a draft shall be generated for the deals.,https://drive.google.com/file/d/1AammdB80otCro65PAf131y_Rv-OMGVOJ/view?usp=sharing,@,"Kaldi,Google Collab,Jupyter Notebook,Python,Android Studio,Java,Jitsi API,DropBox API,Git"
54,SpeakCV,"SpeakCV,is an automatic CV generating system for native Urdu speakers that gets  information from speaker’s voice and generates a professional CV.The user will answer a few questions in Urdu and user’s speech data will be sent to a speaker independent ASR for speech recognition. Once speech is recognized,it is then corrected using Language Model. The corrected transcript is then translated to English. After text translation,our system will extract CV specific data and display it on a professional CV template",https://drive.google.com/file/d/10ISQ_X3Xy8EdiaApEz0piT5gA5-8sS7Z/view?usp=sharing,@,"DeepSpeech2,TensorFlow,NLTK,React,Node.JS,Django"
55,Automatic Speech Recognition for Urdu,Project aims at providing call transcription by not only doing exceptional continuous speech recognition but also the identification of multiple speakers using various Natural Language Processing (NLP) techniques. Sentences. The user will speak or provide audio and the website will provide the text of the spoken words. This will help users to further store and use the transcribed data and apply other Natural Language Processing techniques to obtain meaningful data.,https://drive.google.com/file/d/14g4GLO8eHqDcGaULZ53rcizaP3Ix6_WP/view?usp=sharing,@,"Kaldi FrameWork,Git,Flask,Python"
56,Interactive chatbot for admission inquiries in roman urdu,"we developed an interactive and intelligent chatbot that understands and gives dynamic responses to students’ queries in Roman Urdu. Our chatbot can handle different spelling variations of Roman Urdu words,detect offensive language,handle out-of-scope questions,asks follow-up questions and remembers the context of the conversation. We used the RASA framework for the development of our chatbot and we got an average accuracy of around 94% and an average F1 score of around 84% for all the user intents.It handles questions/queries falling in more than 50 different categories",https://drive.google.com/file/d/1nJHHEqBxsszDneA58GmamWLcuCRRPi75/view?usp=sharing,@,"Python,RASA,PyCharm,GitHub,React,Colab,Machine Learning,NLP"
57,ShopSpot,"We made a Web application in MERN Stack,named ShopSpot,   for people with busy routines to have their own personal clothe recommender which recommends according to user’s preferences and interest. The main motivation behind creating this application is to help people struggling with finding their clothes according to their preferences.",https://drive.google.com/file/d/1YNM91yRRdJ9OW7Dg23sZsQn_Ds9I0kLy/view?usp=sharing,@,"Python,Machine Learning,Reactjs,Node.js,MongoDB,Beautiful-Soup,Visual Studio Code"
58,Augmented reality in Kindergarten,"We developed an android application that uses augmented reality (AR) to help children in pre-school improve their understanding of the environment around them. We aim to achieve this goal using computer vision and machine learning. 3D models will be displayed by implementing scene and object detection. Children can acquire information about their surroundings by using their smartphone’s camera.The application is makes use of our trained models to perform object detection and generate 3D models of the concepts being taught in their books. Moreover,the application make use of high contrast colors,animated text,and speech commands so it is easy and intuitive for the children to identify the application’s features. Scene detection will make use of neural networks,relevant machine learning algorithms,and classifiers.",https://drive.google.com/file/d/1jiyW-s-dBJeOWyur1Hd8xc8Ay7N30UrD/view?usp=sharing,@,"Android Studio,AR Core,Firebase,VGG 19 Deep Learning Model"
59,TryItOut,"TryItOut is a platform where users can virtually edit and try out garments. The project has multiple features such as TextureMod,where people can provide the input image of the garment and they can map the texture of their own choice on that garment. In TailorMod,the user can map the neckline of one garment on the other. In GarmentTransfer,the user will provide a picture of themselves and of the garment they want to try,and the garment will be realistically re-rendered on the user’s body. In MotionTransfer,the user can try out the garment by providing their video as well.",https://drive.google.com/file/d/17rcutat7IcAEV0fBsFC8nhn67MKyz9UN/view?usp=sharing,@,"Computer Vision,Image Processing,Machine Learning,Flask"
60,DigiLab,"DigiLab is an Augmented Reality based application that enables students of Secondary Level to do their lab experiments of Physics using just their Android phones. Using AR,we aim to digitalize the labs so that the information can be overlaid over the objects anywhere in real-time to give direct understanding of physics concepts. DigiLab will aim to revolutionize Labs/Practical in the Education Sector. There will be selected experiments according to the latest curriculum of Secondary Level’s Physics Practical. It would supplement current pedagogical materials by simply adding more contextual experiences.",https://drive.google.com/file/d/1p6AOjORED3vFe_dpUIQlq4lpKzYn85tt/view?usp=sharing,@,"Blender,Unity 3D,AR Core,C#,TensorFlow"
61,TrueDetective,"(1) TrueDetective is an intelligent system that finds a person through their face.(2) The face of the person may be bare face or disguised.(3) Their are 4 disguises in the data ( face mask,glasses,fake beard,hats )(4) The recognition is done on CCTV images and videos.(5) The data is self collected images from cctv point of view. (full info on github)",https://drive.google.com/file/d/1uMSv7k6JHXDV8QZ3PYBvCmCuXRaBzIEq/view?usp=sharing,@,"Python,Opencv,Keras,Scikit-learn,Google Colab,Matplotlib,TensorFlow,Flask,HTML,CSS"
